kit_num,name,pos,dob,nat,apps,goals,assists,mins
1,Jens Lehmann,GK,11/10/69,GER,38,0,0,3420
3,cAshley Cole,DF,12/20/80,ENG,32,0,3,2751
5,Martin Keown,DF,7/24/66,ENG,3(7),0,0,339
12,Lauren,DF,1/19/77,CMR,30(2),0,1,2743
18,Pascal Cygan,DF,04/29/74,FRA,10(8),0,0,988
22,Gael Clichy,DF,7/26/85,FRA,7(5),0,0,655
23,Sol Campbell,DF,10/18/74,ENG,35,1,1,3060
28,Kolo Toure,DF,3/19/81,CIV,36(1),1,1,3148
4,Patrick Vieira,MF,06/23/76,FRA,29,3,4,2535
7,Robert Pires,MF,10/29/73,FRA,33(3),14,8,2845
8,Fredrik Ljungberg,MF,04/16/77,SWE,27(3),4,5,2229
9,Jose Antonio Reyes,FW,09/1/83,ESP,7(6),2,1,655
10,Dennis Bergkamp,FW,05/10/69,NED,21(7),4,7,1764
15,Ray Parlour,MF,03/7/73,ENG,12(10),0,0,1515
17,Edu Gaspar,MF,05/15/78,BRA,12(17),2,2,1474
19,Gilberto Silva,MF,10/7/76,BRA,29(3),4,4,2544
11,Sylvian Wiltord,FW,05/10/74,FRA,8(4),3,0,649
14,Thierry Henry,FW,08/17/77,FRA,37,30,6,3330
25,Nwankwo Kanu,FW,08/1/76,NGR,3(7),1,2,429
